Velocity u [ m s^-1 ],Y [ m ]
1.60E+00,0.00E+00
1.59E+00,1.01E-03
1.58E+00,2.02E-03
1.57E+00,3.03E-03
1.57E+00,4.04E-03
1.56E+00,5.05E-03
1.55E+00,6.06E-03
1.54E+00,7.07E-03
1.53E+00,8.08E-03
1.53E+00,9.09E-03
1.52E+00,1.01E-02
1.51E+00,1.11E-02
1.50E+00,1.21E-02
1.49E+00,1.31E-02
1.49E+00,1.41E-02
1.48E+00,1.52E-02
1.47E+00,1.62E-02
1.46E+00,1.72E-02
1.45E+00,1.82E-02
1.44E+00,1.92E-02
1.44E+00,2.02E-02
1.43E+00,2.12E-02
1.42E+00,2.22E-02
1.41E+00,2.32E-02
1.40E+00,2.42E-02
1.40E+00,2.53E-02
1.39E+00,2.63E-02
1.38E+00,2.73E-02
1.37E+00,2.83E-02
1.36E+00,2.93E-02
1.36E+00,3.03E-02
1.35E+00,3.13E-02
1.34E+00,3.23E-02
1.33E+00,3.33E-02
1.32E+00,3.43E-02
1.32E+00,3.54E-02
1.31E+00,3.64E-02
1.30E+00,3.74E-02
1.29E+00,3.84E-02
1.28E+00,3.94E-02
1.28E+00,4.04E-02
1.27E+00,4.14E-02
1.26E+00,4.24E-02
1.25E+00,4.34E-02
1.24E+00,4.44E-02
1.23E+00,4.55E-02
1.23E+00,4.65E-02
1.22E+00,4.75E-02
1.21E+00,4.85E-02
1.20E+00,4.95E-02
1.18E+00,5.05E-02
1.16E+00,5.15E-02
1.14E+00,5.25E-02
1.11E+00,5.35E-02
1.09E+00,5.45E-02
1.06E+00,5.56E-02
1.04E+00,5.66E-02
1.01E+00,5.76E-02
9.90E-01,5.86E-02
9.66E-01,5.96E-02
9.42E-01,6.06E-02
9.18E-01,6.16E-02
8.93E-01,6.26E-02
8.69E-01,6.36E-02
8.45E-01,6.46E-02
8.20E-01,6.57E-02
7.96E-01,6.67E-02
7.72E-01,6.77E-02
7.48E-01,6.87E-02
7.23E-01,6.97E-02
6.99E-01,7.07E-02
6.75E-01,7.17E-02
6.50E-01,7.27E-02
6.26E-01,7.37E-02
6.02E-01,7.47E-02
5.78E-01,7.58E-02
5.53E-01,7.68E-02
5.29E-01,7.78E-02
5.05E-01,7.88E-02
4.80E-01,7.98E-02
4.56E-01,8.08E-02
4.32E-01,8.18E-02
4.08E-01,8.28E-02
3.83E-01,8.38E-02
3.59E-01,8.48E-02
3.35E-01,8.59E-02
3.11E-01,8.69E-02
2.86E-01,8.79E-02
2.62E-01,8.89E-02
2.38E-01,8.99E-02
2.13E-01,9.09E-02
1.89E-01,9.19E-02
1.65E-01,9.29E-02
1.41E-01,9.39E-02
1.16E-01,9.49E-02
9.20E-02,9.60E-02
6.77E-02,9.70E-02
4.34E-02,9.80E-02
1.91E-02,9.90E-02
2.00E-02,1.00E-01
