120 elementos,
X [ m ],Pressure [ Pa ]
0.000,4.058
0.030,4.030
0.061,3.994
0.091,3.941
0.121,3.893
0.152,3.847
0.182,3.803
0.212,3.758
0.242,3.711
0.273,3.663
0.303,3.615
0.333,3.568
0.364,3.521
0.394,3.474
0.424,3.428
0.455,3.382
0.485,3.337
0.515,3.291
0.545,3.247
0.576,3.202
0.606,3.158
0.636,3.114
0.667,3.070
0.697,3.027
0.727,2.984
0.758,2.941
0.788,2.898
0.818,2.855
0.848,2.813
0.879,2.771
0.909,2.729
0.939,2.687
0.970,2.646
1.000,2.604
1.030,2.563
1.061,2.522
1.091,2.481
1.121,2.440
1.152,2.399
1.182,2.358
1.212,2.317
1.242,2.277
1.273,2.237
1.303,2.196
1.333,2.156
1.364,2.116
1.394,2.076
1.424,2.036
1.455,1.996
1.485,1.956
1.515,1.916
1.545,1.876
1.576,1.836
1.606,1.797
1.636,1.757
1.667,1.718
1.697,1.678
1.727,1.638
1.758,1.599
1.788,1.560
1.818,1.520
1.848,1.481
1.879,1.441
1.909,1.402
1.939,1.363
1.970,1.324
2.000,1.284
2.030,1.245
2.061,1.206
2.091,1.167
2.121,1.128
2.152,1.089
2.182,1.049
2.212,1.010
2.242,0.971
2.273,0.932
2.303,0.893
2.333,0.854
2.364,0.815
2.394,0.776
2.424,0.737
2.455,0.698
2.485,0.659
2.515,0.620
2.545,0.581
2.576,0.542
2.606,0.503
2.636,0.464
2.667,0.426
2.697,0.387
2.727,0.348
2.758,0.309
2.788,0.270
2.818,0.231
2.848,0.192
2.879,0.153
2.909,0.115
2.939,0.076
2.970,0.044
3.000,0.016
